PlayerId,FirstName,LastName,CommonName,ShortName,Gender,BirthDate,BirthCity,BirthCountry,Nationality,Height,Weight,Status,Hand,YearPro,SinglesWorldRank,DoublesWorldRank
74560000,Daniil,Medvédev,Daniil Medvédev,D. Medvédev,male,,Moskva,Russia,Russia,198.0,83.0,active,Right,,4.0,
74560001,Alexander,Zverev,Alexander Zverev,A. Zverev,male,,Hamburg,Germany,Germany,198.0,90.0,active,Right,,1.0,44.0
74560001,Novak,Djokovic,Novak Djokovic,N. Djokovic,male,,Beograd,SFR Yugoslavia,Serbia,188.0,77.0,active,Right,,1.0,
74560002,Rafael,Nadal,Rafael Nadal,Rafael Nadal,male,,Manacor,Spain,Spain,185.0,85.0,active,Left,,3.0,
74560002,Casper,Ruud,Casper Ruud,C. Ruud,male,,Oslo,Norway,Norway,183.0,81.0,active,Right,,3.0,
74560003,Stefanos,Tsitsipás,Stefanos Tsitsipás,S. Tsitsipás,male,,Athína,Greece,Greece,193.0,90.0,active,Right,,13.0,40.0
74560003,Carlos,Alcaraz Garfia,Carlos Alcaraz,Carlos Alcaraz,male,,El Palmar,Spain,Spain,183.0,74.0,active,Right,,0.0,
74560004,Andrey,Rublev,Andrey Rublev,A. Rublev,male,,Moskva,Russia,Russia,188.0,75.0,active,Right,,3.0,21.0
74560004,Félix,Auger-Aliassime,Félix Auger-Aliassime,F. Auger-Aliassime,male,,"Montréal, QC",Canada,Canada,193.0,88.0,active,Right,,3.0,
74560005,Matteo,Berrettini,Matteo Berrettini,M. Berrettini,male,,Roma,Italy,Italy,196.0,95.0,active,Right,,27.0,
74560005,Cameron,Norrie,Cameron Norrie,C. Norrie,male,,"Johannesburg, Gauteng",South Africa,Great Britain,188.0,82.0,active,Left,,16.0,
74560006,Hubert,Hurkacz,Hubert Hurkacz,H. Hurkacz,male,,Wrocław,Poland,Poland,196.0,81.0,active,Right,,33.0,47.0
74560006,Jannik,Sinner,Jannik Sinner,J. Sinner,male,,San Candido,Italy,Italy,191.0,77.0,active,Right,,0.0,
74560007,Taylor,Fritz,Taylor Fritz,T. Fritz,male,,"Rancho Santa Fe, CA",United States,United States,196.0,86.0,active,Right,,1.0,
74560007,Denis,Shapovalov,Denis Shapovalov,D. Shapovalov,male,,Tel Aviv,Israel,Canada,185.0,75.0,active,Left,,12.0,45.0
74560007,Diego,Schwartzman,Diego Schwartzman,D. Schwartzman,male,,"Buenos Aires, Buenos Aires",Argentina,Argentina,170.0,64.0,active,Right,,45.0,47.0
74560008,Marin,Čilić,Marin Čilić,M. Čilić,male,,Medjugorje,SFR Yugoslavia,Croatia,198.0,89.0,active,Right,,27.0,
74560008,Reilly,Opelka,Reilly Opelka,R. Opelka,male,,"St. Joseph, MI",United States,United States,211.0,100.0,active,Right,,29.0,
74560009,Pablo,Carreño Busta,Pablo Carreño Busta,Pablo Carreño Busta,male,,Gijon,Spain,Spain,188.0,78.0,active,Right,,43.0,
74560009,Roberto,Bautista Agut,Roberto Bautista Agut,Roberto Bautista Agut,male,,Castellón de la Plana,Spain,Spain,183.0,75.0,active,Right,,22.0,
74560010,Alex,De Minaur,Alex De Minaur,A. De Minaur,male,,"Sydney, NSW",Australia,Australia,183.0,69.0,active,Right,,2.0,
74560010,Grigor,Dimitrov,Grigor Dimitrov,G. Dimitrov,male,,Haskovo,Bulgaria,Bulgaria,191.0,81.0,active,Right,,13.0,
74560011,Karen,Khachanov,Karen Khachanov,K. Khachanov,male,,Moskva,Russia,Russia,198.0,87.0,active,Right,,2.0,39.0
74560011,Gael,Monfils,Gael Monfils,G. Monfils,male,,Paris,France,France,193.0,85.0,active,Right,,24.0,
74560012,Nikoloz,Basilashvili,Nikoloz Basilashvili,N. Basilashvili,male,,Tbilisi,Georgia,Georgia,185.0,79.0,active,Right,,39.0,
74560012,John,Isner,John Isner,J. Isner,male,,"Greensboro, NC",United States,United States,208.0,108.0,active,Right,,42.0,43.0
74560013,Frances,Tiafoe,Frances Tiafoe,F. Tiafoe,male,,"Hyattsville, MD",United States,United States,188.0,86.0,active,Right,,14.0,
74560013,Holger Vitus,Nodskov Rune,Holger Rune,H. Rune,male,,Gentofte,Denmark,Denmark,188.0,77.0,active,Right,,2.0,
74560014,Botic,van de Zandschulp,Botic van de Zandschulp,B. van de Zandschulp,male,,Wageningen,Netherlands,Netherlands,191.0,85.0,active,Right,,39.0,39.0
74560014,Miomir,Kecmanović,Miomir Kecmanović,M. Kecmanović,male,,Beograd,FR Yugoslavia,Serbia,183.0,75.0,active,Right,,22.0,
74560014,Daniel,Evans,Daniel Evans,D. Evans,male,,Birmingham,Great Britain,Great Britain,175.0,75.0,active,Right,,27.0,29.0
74560015,Lorenzo,Sonego,Lorenzo Sonego,L. Sonego,male,,Torino,Italy,Italy,191.0,76.0,active,Right,,21.0,44.0
74560015,Jenson,Brooksby,Jenson Brooksby,J. Brooksby,male,,"Sacramento, CA",United States,United States,193.0,64.0,active,Right,,40.0,
74560016,Sebastián,Báez,Sebastián Báez,S. Báez,male,,"Buenos Aires, Buenos Aires",Argentina,Argentina,170.0,70.0,active,Right,,19.0,
74560016,Tommy,Paul,Tommy Paul,T. Paul,male,,"Voorhees, NJ",United States,United States,185.0,82.0,active,Right,,3.0,47.0
74560017,Lloyd,Harris,Lloyd Harris,L. Harris,male,,"Cape Town, Western Cape",South Africa,South Africa,196.0,80.0,active,Right,,47.0,
74560017,Alexander,Bublik,Alexander Bublik,A. Bublik,male,,Gatchina,Russia,Kazakhstan,196.0,82.0,active,Right,,4.0,
74560018,Aslan,Karatsev,Aslan Karatsev,A. Karatsev,male,,,Russia,Russia,,,active,Right,,46.0,44.0
74560018,David,Goffin,David Goffin,D. Goffin,male,,Rocourt,Belgium,Belgium,180.0,70.0,active,Right,,41.0,
74560019,Albert,Ramos-Viñolas,Albert Ramos-Viñolas,Albert Ramos-Viñolas,male,,Barcelona,Spain,Spain,188.0,80.0,active,Left,,45.0,
74560019,Sebastian,Korda,Sebastian Korda,S. Korda,male,,"Bradenton, FL",United States,United States,196.0,82.0,active,Right,,37.0,44.0
74560020,Ilya,Ivashka,Ilya Ivashka,I. Ivashka,male,,,Belarus,Belarus,196.0,83.0,active,Right,,46.0,
74560020,Cristian,Garín,Cristian Garín,C. Garín,male,,Santiago,Chile,Chile,185.0,85.0,active,Right,,47.0,
74560021,Alejandro,Davidovich Fokina,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,male,,Málaga,Spain,Spain,183.0,78.0,active,Right,,4.0,
74560021,Alex,Molčan,Alex Molčan,A. Molčan,male,,,Slovakia,Slovakia,178.0,73.0,active,Left,,38.0,
74560021,Francisco,Cerúndolo,Francisco Cerúndolo,F. Cerúndolo,male,,"Buenos Aires, Buenos Aires",Argentina,Argentina,185.0,80.0,active,Right,,5.0,
74560022,Andy,Murray,Andy Murray,A. Murray,male,,Glasgow,Scotland,Great Britain,191.0,84.0,active,Right,,45.0,
74560022,Filip,Krajinović,Filip Krajinović,F. Krajinović,male,,Sombor,SFR Yugoslavia,Serbia,185.0,75.0,active,Right,,43.0,
74560023,Pedro,Martínez Portero,Pedro Martínez,Pedro Martínez Portero,male,,Alzira,Spain,Spain,185.0,76.0,active,Right,,31.0,42.0
74560023,Ugo,Humbert,Ugo Humbert,U. Humbert,male,,Metz,France,France,188.0,73.0,active,Left,,11.0,
74560024,Oscar,Otte,Oscar Otte,O. Otte,male,,,Germany,Germany,196.0,77.0,active,Right,,46.0,
74560024,Benjamin,Bonzi,Benjamin Bonzi,B. Bonzi,male,,Nîmes,France,France,183.0,75.0,active,Right,,21.0,
74560025,Mackenzie,McDonald,Mackenzie McDonald,M. McDonald,male,,,United States,United States,178.0,66.0,active,Right,,46.0,47.0
