VenueId,Name,City
1,Stade Roland Garros - Court Suzanne Lenglen,Paris
2,Stade Roland Garros - Court 11,Paris
3,Stade Roland Garros - Court 7,Paris
4,Stade Roland Garros - Court 10,Paris
5,Stade Roland Garros - Court Philippe Chatrier,Paris
6,Stade Roland Garros - Court 14,Paris
7,Stade Roland Garros - Court 12,Paris
8,Stade Roland Garros - Court 6,Paris
9,Stade Roland Garros - Court 13,Paris
10,Stade Roland Garros - Court Simonne Mathieu,Paris
12,Stade Roland Garros - Court 9,Paris
13,Stade Roland Garros - Court 5,Paris
14,Stade Roland Garros - Court 4,Paris
15,Stade Roland Garros - Court 8,Paris
16,Rod Laver Arena,"Melbourne, VIC"
17,Melbourne Park - Court 5,"Melbourne, VIC"
18,Melbourne Park - Court 7,"Melbourne, VIC"
19,Margaret Court Arena,"Melbourne, VIC"
20,Memorial Drive Tennis Centre - Centre Court,"Adelaide, SA"
21,Memorial Drive Tennis Centre - Court 3,"Adelaide, SA"
22,Memorial Drive Tennis Centre - Show Court 1,"Adelaide, SA"
23,Memorial Drive Tennis Centre - Court 4,"Adelaide, SA"
24,Melbourne Park - Court 8,"Melbourne, VIC"
25,Melbourne Park - Court 13,"Melbourne, VIC"
26,John Cain Arena,"Melbourne, VIC"
27,Ken Rosewall Arena,"Parramatta, NSW"
28,Sydney Olympic Park Tennis Centre - Court 1,"Parramatta, NSW"
29,Sydney Olympic Park Tennis Centre - Court 5,"Parramatta, NSW"
30,Sydney Olympic Park Tennis Centre - Court 4,"Parramatta, NSW"
31,Kia Arena,"Melbourne, VIC"
32,Melbourne Park - Court 16,"Melbourne, VIC"
33,1573 Arena,"Melbourne, VIC"
34,Melbourne Park - Court 17,"Melbourne, VIC"
35,Melbourne Park - Court 15,"Melbourne, VIC"
36,Melbourne Park - Court 6,"Melbourne, VIC"
37,Melbourne Park - Court 3,"Melbourne, VIC"
38,Melbourne Park - Court 12,"Melbourne, VIC"
39,Melbourne Park - Court 14,"Melbourne, VIC"
40,Sibur Arena,Sankt-Petersburg
41,Sibur Arena - TC Dynamo,Sankt-Petersburg
42,Dubai Duty Free TC - Centre Court,Dubayy
43,Dubai Duty Free TC - Court 1,Dubayy
44,Dubai Duty Free TC - Court 3,Dubayy
45,Khalifa International Tennis and Squash Complex - Grandstand 1,Doha
46,Khalifa International Tennis and Squash Complex - Grandstand 2,Doha
47,Khalifa International Tennis and Squash Complex - Centre Court,Doha
48,Khalifa International Tennis and Squash Complex - Grandstand 3,Doha
49,Khalifa International Tennis and Squash Complex - Grandstand 4,Doha
50,Panamerican Tennis Center - Estadio Akron,"Zapopan, Jalisco"
51,Panamerican Tennis Center - Court 1,"Zapopan, Jalisco"
52,Panamerican Tennis Center - Court 2,"Zapopan, Jalisco"
53,Palais des Sports de Gerland - Court Central,Lyon
54,Palais des Sports de Gerland - Court 1,Lyon
55,Club Sonoma - Center Court,"Monterrey, Nuevo León"
56,Club Sonoma - Court 1,"Monterrey, Nuevo León"
57,Club Sonoma - Court 4,"Monterrey, Nuevo León"
58,Indian Wells Tennis Garden - Stadium 1,"Indian Wells, CA"
59,Indian Wells Tennis Garden - Stadium 9,"Indian Wells, CA"
60,Indian Wells Tennis Garden - Stadium 2,"Indian Wells, CA"
61,Indian Wells Tennis Garden - Stadium 6,"Indian Wells, CA"
62,Indian Wells Tennis Garden - Stadium 7,"Indian Wells, CA"
63,Indian Wells Tennis Garden - Stadium 4,"Indian Wells, CA"
64,Indian Wells Tennis Garden - Stadium 3,"Indian Wells, CA"
65,Indian Wells Tennis Garden - Stadium 8,"Indian Wells, CA"
66,Indian Wells Tennis Garden - Stadium 5,"Indian Wells, CA"
67,Hard Rock - Court 2,"Miami Gardens, FL"
68,Hard Rock Stadium,"Miami Gardens, FL"
69,Hard Rock - Butch Buchholz,"Miami Gardens, FL"
70,Hard Rock - Grandstand,"Miami Gardens, FL"
71,Hard Rock - Court 7,"Miami Gardens, FL"
72,Hard Rock - Court 3,"Miami Gardens, FL"
73,Hard Rock - Court 1,"Miami Gardens, FL"
74,Hard Rock - Court 5,"Miami Gardens, FL"
75,Country Club de Bogotá - Cancha Central,Bogotá
76,Country Club de Bogotá - Cancha 2,Bogotá
77,Country Club de Bogotá - Cancha 3,Bogotá
78,Family Circle Tennis Center - Althea Gibson Court,"Charleston, SC"
79,Credit One Stadium,"Charleston, SC"
80,Family Circle Tennis Center - Court 4,"Charleston, SC"
81,Family Circle Tennis Center - Court 3,"Charleston, SC"
82,İstanbul Tenis Kulübü - Centre Court,İstanbul
83,İstanbul Tenis Kulübü - Court 2,İstanbul
84,İstanbul Tenis Kulübü - Can Uner Court,İstanbul
85,Porsche-Arena,Stuttgart
86,Porsche Arena - Court 1,Stuttgart
87,Caja Mágica - Manolo Santana Court,Madrid
88,Caja Mágica - Stadium 3,Madrid
89,Caja Mágica - Arantxa Sánchez Vicario,Madrid
90,Caja Mágica - Court 4,Madrid
91,Caja Mágica - Court 5,Madrid
92,Saint Malo TC - Court 1,Saint-Malo
93,Saint Malo TC - Centre Court,Saint-Malo
94,Saint Malo TC - Court 2,Saint-Malo
95,Foro Italico - Campo Centrale,Roma
96,Foro Italico - Court 3,Roma
97,Foro Italico - Grand Stand Arena,Roma
98,Foro Italico - Court 1,Roma
99,Foro Italico - Court 2,Roma
100,Foro Italico - Pietrangeli,Roma
101,TC Rüppurr - Center Court,Karlsruhe
102,TC Rüppurr - Court 1,Karlsruhe
103,TC Rüppurr - Court 2,Karlsruhe
104,Lagardère Paris Racing - Centre Court,Paris
105,Lagardère Paris Racing - Court 2,Paris
106,Lagardère Paris Racing - Court 1,Paris
107,TC Strasbourg - Patrice Dominguez Court,Strasbourg
108,TC Strasbourg - Court 1,Strasbourg
109,TC Strasbourg - Court 2,Strasbourg
110,Club des Cheminots - Centre Court,Rabat
111,Club des Cheminots - Court 1,Rabat
112,Club des Cheminots - Court 2,Rabat
113,TC Makarska - Centre Court,Makarska
114,TC Makarska - Court Studenac,Makarska
115,TC Makarska - Court 1,Makarska
116,Sporting Club de Tenis - Centre Court,Valencia
117,Sporting Club de Tenis - Court 1,Valencia
118,Nottingham Tennis Centre - Court 1,Nottingham
119,Nottingham Tennis Centre - Court 2,Nottingham
120,Nottingham Tennis Centre - Centre Court,Nottingham
121,Autotron Park - Court 3,Rosmalen
122,Autotron Park - Court 5,Rosmalen
123,Autotron Park - Centre Court,Rosmalen
124,Autotron Park - Court 1,Rosmalen
125,Autotron Park - Court 2,Rosmalen
126,Autotron Park - Court 6,Rosmalen
127,Rot-Weiß TC - Steffi Graf Stadion,Berlin
128,Rot-Weiß TC - Court 1,Berlin
129,Rot-Weiß TC - Court 2,Berlin
130,Tennis Club Gaiba - Court 1,Gaiba Veneto
131,Tennis Club Gaiba - Centre Court,Gaiba Veneto
132,Tennis Club Gaiba - Court 3,Gaiba Veneto
133,Edgbaston Priory Club - Court 1,Birmingham
134,Edgbaston Priory Club - Ann Jones Court,Birmingham
135,Mhalunge Balewadi Tennis Complex - Centre Court,"Puṇe, Maharashtra"
136,Mhalunge Balewadi Tennis Complex - Court 2,"Puṇe, Maharashtra"
137,Mhalunge Balewadi Tennis Complex - Court 1,"Puṇe, Maharashtra"
138,Sud de France Arena,Perols
139,Sud de France Arena - Court 1,Perols
140,Estadio Mario Alberto Kempes - Cancha 1,"Córdoba, Córdoba"
141,Estadio Mario Alberto Kempes - Cancha Central,"Córdoba, Córdoba"
142,Court Guillermo Vilas,"Buenos Aires, Buenos Aires"
143,BALT - Estadio 2,"Buenos Aires, Buenos Aires"
144,Ahoy Arena,Rotterdam
145,Ahoy Arena - Court 1,Rotterdam
